DS	TC	SGMT	NUM_TXN	TXN_SIZ	THRD_CT	TIME	ABRTS
COMPA	12	16	10000	3	1	422104018	0
COMPA	13	16	10000	3	1	395831336	0
COMPA	14	16	10000	3	1	546048233	0
COMPA	15	16	10000	3	1	525839153	0
COMPA	16	16	10000	3	1	401397951	0
COMPA	17	16	10000	3	1	445231688	0
COMPA	18	16	10000	3	1	353271462	2462
COMPA	19	16	10000	3	1	62760	0
BOOST	01	16	10000	3	1	579776865	0
BOOST	02	16	10000	3	1	572182098	0
BOOST	03	16	10000	3	1	250715134	0
BOOST	04	16	10000	3	1	583422154	0
BOOST	05	16	10000	3	1	579723526	0
BOOST	06	16	10000	3	1	576970515	0
BOOST	07	16	10000	3	1	575979321	0
BOOST	08	16	10000	3	1	573267217	0
BOOST	09	16	10000	3	1	577801041	0
BOOST	10	16	10000	3	1	575837581	0
BOOST	11	16	10000	3	1	459373696	0
BOOST	12	16	10000	3	1	406620725	0
BOOST	13	16	10000	3	1	377184598	0
BOOST	14	16	10000	3	1	521548684	0
BOOST	15	16	10000	3	1	502840021	0
BOOST	16	16	10000	3	1	390547820	0
BOOST	17	16	10000	3	1	438600267	0
BOOST	18	16	10000	3	1	335095961	0
BOOST	19	16	10000	3	1	58630	0
STMVE	01	16	10000	3	1	4682768	0
STMVE	02	16	10000	3	1	4636378	0
STMVE	03	16	10000	3	1	4475748	2987
STMVE	04	16	10000	3	1	4863180	0
STMVE	05	16	10000	3	1	4625640	0
STMVE	06	16	10000	3	1	4941540	0
STMVE	07	16	10000	3	1	4952171	0
STMVE	08	16	10000	3	1	4857361	0
STMVE	09	16	10000	3	1	4891482	0
STMVE	10	16	10000	3	1	4679461	0
STMVE	11	16	10000	3	1	4911073	0
STMVE	12	16	10000	3	1	4813223	0
STMVE	13	16	10000	3	1	4875663	0
STMVE	14	16	10000	3	1	4879973	0
STMVE	15	16	10000	3	1	4811574	0
STMVE	16	16	10000	3	1	4662534	0
STMVE	17	16	10000	3	1	4928175	0
STMVE	18	16	10000	3	1	4553594	2829
STMVE	19	16	10000	3	1	66322	1
SEGME	01	16	10000	4	1	38669560	0
SEGME	02	16	10000	4	1	31383828	0
SEGME	03	16	10000	4	1	39254084	0
SEGME	04	16	10000	4	1	118681762	0
SEGME	05	16	10000	4	1	108655684	0
SEGME	06	16	10000	4	1	113372482	0
SEGME	07	16	10000	4	1	114478827	0
SEGME	08	16	10000	4	1	111829555	0
SEGME	09	16	10000	4	1	115434302	0
SEGME	10	16	10000	4	1	111317233	0
SEGME	11	16	10000	4	1	80750918	0
SEGME	12	16	10000	4	1	63855455	0
SEGME	13	16	10000	4	1	54208996	0
SEGME	14	16	10000	4	1	101391378	0
SEGME	15	16	10000	4	1	96573541	0
SEGME	16	16	10000	4	1	34206076	0
SEGME	17	16	10000	4	1	31324654	0
SEGME	18	16	10000	4	1	23438678	4179
SEGME	19	16	10000	4	1	58792	0
COMPA	01	16	10000	4	1	786746086	0
COMPA	02	16	10000	4	1	778359756	0
COMPA	03	16	10000	4	1	317609668	0
COMPA	04	16	10000	4	1	811973342	0
COMPA	05	16	10000	4	1	800574402	0
COMPA	06	16	10000	4	1	806804364	0
COMPA	07	16	10000	4	1	803015898	0
COMPA	08	16	10000	4	1	807479844	0
COMPA	09	16	10000	4	1	812065671	0
