DS	TC	SGMT	NUM_TXN	TXN_SIZ	THRD_CT	TIME	ABRTS
COMPA	12	16	10000	5	1	91300558	0
COMPA	13	16	10000	5	1	86068743	0
COMPA	14	16	10000	5	1	114669954	0
COMPA	15	16	10000	5	1	112868787	0
COMPA	16	16	10000	5	1	78334921	0
COMPA	17	16	10000	5	1	72392223	0
COMPA	18	16	10000	5	1	41479839	5119
COMPA	19	16	10000	5	1	145798	0
BOOST	01	16	10000	5	1	126620389	0
BOOST	02	16	10000	5	1	121246859	0
BOOST	03	16	10000	5	1	57632657	0
BOOST	04	16	10000	5	1	106957665	0
BOOST	05	16	10000	5	1	106152116	0
BOOST	06	16	10000	5	1	130327605	0
BOOST	07	16	10000	5	1	125251712	0
BOOST	08	16	10000	5	1	111308155	0
BOOST	09	16	10000	5	1	110700310	0
BOOST	10	16	10000	5	1	128350338	0
BOOST	11	16	10000	5	1	101010517	0
BOOST	12	16	10000	5	1	72558760	0
BOOST	13	16	10000	5	1	82914323	0
BOOST	14	16	10000	5	1	114877599	0
BOOST	15	16	10000	5	1	105827097	0
BOOST	16	16	10000	5	1	62119816	0
BOOST	17	16	10000	5	1	93868209	0
BOOST	18	16	10000	5	1	42170982	0
BOOST	19	16	10000	5	1	68890	0
STMVE	01	16	10000	5	1	3653809	0
STMVE	02	16	10000	5	1	3689658	0
STMVE	03	16	10000	5	1	4296709	3987
STMVE	04	16	10000	5	1	3747986	0
STMVE	05	16	10000	5	1	3734964	0
STMVE	06	16	10000	5	1	4550141	0
STMVE	07	16	10000	5	1	4296729	0
STMVE	08	16	10000	5	1	4269739	0
STMVE	09	16	10000	5	1	4202238	0
STMVE	10	16	10000	5	1	4224812	0
STMVE	11	16	10000	5	1	5114755	0
STMVE	12	16	10000	5	1	5180630	0
STMVE	13	16	10000	5	1	5123993	0
STMVE	14	16	10000	5	1	4863940	0
STMVE	15	16	10000	5	1	4912833	0
STMVE	16	16	10000	5	1	4530592	0
STMVE	17	16	10000	5	1	4518477	0
STMVE	18	16	10000	5	1	3864821	5511
STMVE	19	16	10000	5	1	89813	1
SEGME	01	16	10000	1	2	5187631	0
SEGME	02	16	10000	1	2	4894290	0
SEGME	03	16	10000	1	2	8380206400	0
SEGME	04	16	10000	1	2	6290753	0
SEGME	05	16	10000	1	2	6013323	0
SEGME	06	16	10000	1	2	7817888	0
SEGME	07	16	10000	1	2	8380058	0
SEGME	08	16	10000	1	2	5944917	0
SEGME	09	16	10000	1	2	6858752	0
SEGME	10	16	10000	1	2	7424072	0
SEGME	11	16	10000	1	2	8412154050	0
SEGME	12	16	10000	1	2	8416962558	0
SEGME	13	16	10000	1	2	8423781739	0
SEGME	14	16	10000	1	2	8409388310	0
SEGME	15	16	10000	1	2	8254234762	0
SEGME	16	16	10000	1	2	8412643231	0
SEGME	17	16	10000	1	2	8250226097	0
SEGME	18	16	10000	1	2	8426178760	0
SEGME	19	16	10000	1	2	91685	0
COMPA	01	16	10000	1	2	36070346	0
COMPA	02	16	10000	1	2	25112943	0
COMPA	03	16	10000	1	2	35644421	0
COMPA	04	16	10000	1	2	24699898	0
COMPA	05	16	10000	1	2	36369107	0
COMPA	06	16	10000	1	2	26659493	0
COMPA	07	16	10000	1	2	36753322	0
COMPA	08	16	10000	1	2	26958003	0
COMPA	09	16	10000	1	2	26032534	0
COMPA	10	16	10000	1	2	35836385	0
COMPA	11	16	10000	1	2	33222856	0
COMPA	12	16	10000	1	2	27525945	0
COMPA	13	16	10000	1	2	28348332	0
COMPA	14	16	10000	1	2	37708056	0
COMPA	15	16	10000	1	2	32912432	0
COMPA	16	16	10000	1	2	35230024	0
COMPA	17	16	10000	1	2	35417834	0
COMPA	18	16	10000	1	2	38876495	0
COMPA	19	16	10000	1	2	169019	0
BOOST	01	16	10000	1	2	37505800	0
BOOST	02	16	10000	1	2	34097714	0
BOOST	03	16	10000	1	2	38307040	0
BOOST	04	16	10000	1	2	36318286	0
BOOST	05	16	10000	1	2	39741236	0
BOOST	06	16	10000	1	2	34399838	0
BOOST	07	16	10000	1	2	39208810	0
BOOST	08	16	10000	1	2	38365834	0
BOOST	09	16	10000	1	2	31704095	0
BOOST	10	16	10000	1	2	39807485	0
BOOST	11	16	10000	1	2	40497884	0
BOOST	12	16	10000	1	2	41891575	0
BOOST	13	16	10000	1	2	43874534	0
BOOST	14	16	10000	1	2	39232439	0
BOOST	15	16	10000	1	2	35056617	0
BOOST	16	16	10000	1	2	53536224	0
BOOST	17	16	10000	1	2	51418355	0
BOOST	18	16	10000	1	2	49781050	0
BOOST	19	16	10000	1	2	117181	0
STMVE	01	16	10000	1	2	1535274	0
STMVE	02	16	10000	1	2	1164940	0
STMVE	03	16	10000	1	2	4640858	1676
STMVE	04	16	10000	1	2	1177763	0
STMVE	05	16	10000	1	2	1355250	0
STMVE	06	16	10000	1	2	1830970	0
STMVE	07	16	10000	1	2	1959283	0
STMVE	08	16	10000	1	2	1638114	0
STMVE	09	16	10000	1	2	1338865	0
STMVE	10	16	10000	1	2	1862954	0
STMVE	11	16	10000	1	2	3769103	0
STMVE	12	16	10000	1	2	4869690	0
STMVE	13	16	10000	1	2	5693940	0
STMVE	14	16	10000	1	2	3482355	0
STMVE	15	16	10000	1	2	4059187	0
STMVE	16	16	10000	1	2	5464152	0
STMVE	17	16	10000	1	2	5006452	0
STMVE	18	16	10000	1	2	4624663	0
STMVE	19	16	10000	1	2	110969	2
SEGME	01	16	10000	2	2	6418708	0
SEGME	02	16	10000	2	2	7165173	0
SEGME	03	16	10000	2	2	8398847144	0
SEGME	04	16	10000	2	2	16468835	0
SEGME	05	16	10000	2	2	11710159	0
SEGME	06	16	10000	2	2	13794371	0
SEGME	07	16	10000	2	2	16936312	0
SEGME	08	16	10000	2	2	15545144	0
SEGME	09	16	10000	2	2	16607114	0
SEGME	10	16	10000	2	2	12872658	0
SEGME	11	16	10000	2	2	8426361486	0
SEGME	12	16	10000	2	2	8427093405	0
SEGME	13	16	10000	2	2	8412607808	0
SEGME	14	16	10000	2	2	8394063736	0
SEGME	15	16	10000	2	2	8412395430	0
SEGME	16	16	10000	2	2	8411422103	0
SEGME	17	16	10000	2	2	8400463032	0
SEGME	18	16	10000	2	2	8264053653	0
SEGME	19	16	10000	2	2	139601	0
COMPA	01	16	10000	2	2	61855832	0
COMPA	02	16	10000	2	2	44029334	0
COMPA	03	16	10000	2	2	38857768	36
COMPA	04	16	10000	2	2	56742018	0
COMPA	05	16	10000	2	2	55982646	0
COMPA	06	16	10000	2	2	60776073	0
COMPA	07	16	10000	2	2	46924557	0
COMPA	08	16	10000	2	2	49546862	0
COMPA	09	16	10000	2	2	48540623	0
COMPA	10	16	10000	2	2	55875533	0
COMPA	11	16	10000	2	2	54642291	204
COMPA	12	16	10000	2	2	70878577	424
COMPA	13	16	10000	2	2	51455849	333
COMPA	14	16	10000	2	2	48171569	127
COMPA	15	16	10000	2	2	64095391	228
COMPA	16	16	10000	2	2	49726627	0
COMPA	17	16	10000	2	2	62302473	0
COMPA	18	16	10000	2	2	86011292	32
COMPA	19	16	10000	2	2	122221	0
BOOST	01	16	10000	2	2	64916724	0
BOOST	02	16	10000	2	2	69088297	0
BOOST	03	16	10000	2	2	53493936	0
BOOST	04	16	10000	2	2	56390104	0
BOOST	05	16	10000	2	2	67046806	0
BOOST	06	16	10000	2	2	54221275	0
BOOST	07	16	10000	2	2	60601678	0
BOOST	08	16	10000	2	2	64829345	0
BOOST	09	16	10000	2	2	65787727	0
BOOST	10	16	10000	2	2	67429739	0
BOOST	11	16	10000	2	2	64186837	0
BOOST	12	16	10000	2	2	66941080	0
BOOST	13	16	10000	2	2	60272608	0
BOOST	14	16	10000	2	2	53640289	0
BOOST	15	16	10000	2	2	66377713	0
BOOST	16	16	10000	2	2	71045231	0
BOOST	17	16	10000	2	2	76042279	0
BOOST	18	16	10000	2	2	84966918	0
BOOST	19	16	10000	2	2	159408	0
STMVE	01	16	10000	2	2	1952107	0
STMVE	02	16	10000	2	2	1892703	0
STMVE	03	16	10000	2	2	4662991	2426
STMVE	04	16	10000	2	2	1237066	0
STMVE	05	16	10000	2	2	1747032	0
STMVE	06	16	10000	2	2	1433275	0
STMVE	07	16	10000	2	2	2016900	0
STMVE	08	16	10000	2	2	1644304	0
STMVE	09	16	10000	2	2	1413528	0
STMVE	10	16	10000	2	2	1817222	0
STMVE	11	16	10000	2	2	6371909	0
STMVE	12	16	10000	2	2	7182646	0
STMVE	13	16	10000	2	2	7232915	0
STMVE	14	16	10000	2	2	5034091	0
STMVE	15	16	10000	2	2	6363088	0
STMVE	16	16	10000	2	2	8254852	0
STMVE	17	16	10000	2	2	6195514	0
STMVE	18	16	10000	2	2	7070745	0
STMVE	19	16	10000	2	2	164519	2
SEGME	01	16	10000	3	2	7174715	0
SEGME	02	16	10000	3	2	7747234	0
SEGME	03	16	10000	3	2	8431673062	0
SEGME	04	16	10000	3	2	24899636	0
SEGME	05	16	10000	3	2	22711786	0
SEGME	06	16	10000	3	2	22908873	0
SEGME	07	16	10000	3	2	24510131	0
SEGME	08	16	10000	3	2	20129618	0
SEGME	09	16	10000	3	2	25462473	0
SEGME	10	16	10000	3	2	23777274	0
SEGME	11	16	10000	3	2	8387019143	0
SEGME	12	16	10000	3	2	8383969982	0
SEGME	13	16	10000	3	2	8437288053	0
SEGME	14	16	10000	3	2	8423426780	0
SEGME	15	16	10000	3	2	8404765721	0
SEGME	16	16	10000	3	2	8373241378	0
SEGME	17	16	10000	3	2	8411689467	0
SEGME	18	16	10000	3	2	8284719130	0
SEGME	19	16	10000	3	2	139844	0
COMPA	01	16	10000	3	2	83084141	0
COMPA	02	16	10000	3	2	75136340	0
COMPA	03	16	10000	3	2	59866938	242
COMPA	04	16	10000	3	2	67522741	0
COMPA	05	16	10000	3	2	81434754	0
COMPA	06	16	10000	3	2	69413799	0
COMPA	07	16	10000	3	2	68825958	0
COMPA	08	16	10000	3	2	76322700	0
COMPA	09	16	10000	3	2	79711626	0
COMPA	10	16	10000	3	2	84125700	0
COMPA	11	16	10000	3	2	84863785	455
COMPA	12	16	10000	3	2	97505742	564
COMPA	13	16	10000	3	2	76663609	379
COMPA	14	16	10000	3	2	84885499	243
COMPA	15	16	10000	3	2	79378765	319
COMPA	16	16	10000	3	2	78708222	0
COMPA	17	16	10000	3	2	110268747	0
COMPA	18	16	10000	3	2	72940868	2552
COMPA	19	16	10000	3	2	75549	0
BOOST	01	16	10000	3	2	84124049	0
BOOST	02	16	10000	3	2	87003234	0
BOOST	03	16	10000	3	2	51288388	0
BOOST	04	16	10000	3	2	87405967	0
BOOST	05	16	10000	3	2	74095579	0
BOOST	06	16	10000	3	2	77594312	0
