DS	TESTCASE	SGMT_SIZE	NUM_TXN	TXN_SIZE	THRD_CNT	TIME	ABORTS	SYSTEM	THRUPUT	RELATIVE
BOOST	2	16	10000	2	1	41674140	0	INTEL	479913.9226388355	1.0
BOOST	3	16	10000	2	1	43369501	0	INTEL	461153.56503640657	1.0
BOOST	4	16	10000	2	1	64343536	0	INTEL	310831.5340331933	1.0
BOOST	5	16	10000	2	1	64156448	0	INTEL	311737.9565651764	1.0
BOOST	6	16	10000	2	1	45083363	0	INTEL	443622.62859583035	1.0
BOOST	7	16	10000	2	1	43393894	0	INTEL	460894.336885277	1.0
BOOST	8	16	10000	2	1	44607627	0	INTEL	448353.820749084	1.0
BOOST	9	16	10000	2	1	62391465	0	INTEL	320556.665883707	1.0
BOOST	10	16	10000	2	1	63838191	0	INTEL	313292.08561063395	1.0
BOOST	11	16	10000	2	1	37011812	0	INTEL	540368.0316975565	1.0
BOOST	12	16	10000	2	1	33753109	0	INTEL	592538.0088690496	1.0
BOOST	13	16	10000	2	1	51927491	0	INTEL	385152.44266278914	1.0
BOOST	14	16	10000	2	1	41656557	0	INTEL	480116.49162459583	1.0
BOOST	15	16	10000	2	1	55702348	0	INTEL	359051.2916977934	1.0
BOOST	16	16	10000	2	1	54303355	0	INTEL	368301.3692247928	1.0
BOOST	17	16	10000	2	1	56489828	0	INTEL	354046.04170506593	1.0
BOOST	18	16	10000	2	1	35627607	0	INTEL	561362.4288602937	1.0
BOOST	19	16	10000	2	1	68369	0	INTEL	292530240.31359243	1.0
STMVE	1	16	10000	2	1	3482821	0	INTEL	5742471.404645831	1.0
STMVE	2	16	10000	2	1	3500929	0	INTEL	5712769.38206973	1.0
STMVE	3	16	10000	2	1	3946661	2375	INTEL	5067574.843646313	1.0
STMVE	4	16	10000	2	1	3526094	0	INTEL	5671998.534355579	1.0
STMVE	5	16	10000	2	1	3619957	0	INTEL	5524927.5060449615	1.0
STMVE	6	16	10000	2	1	3814047	0	INTEL	5243773.870641867	1.0
STMVE	7	16	10000	2	1	3796355	0	INTEL	5268211.218392379	1.0
STMVE	8	16	10000	2	1	3753573	0	INTEL	5328256.570472986	1.0
STMVE	9	16	10000	2	1	3708975	0	INTEL	5392325.372913001	1.0
STMVE	10	16	10000	2	1	3743550	0	INTEL	5342522.471985147	1.0
STMVE	11	16	10000	2	1	4026874	0	INTEL	4966631.685024166	1.0
STMVE	12	16	10000	2	1	4050438	0	INTEL	4937737.597761032	1.0
STMVE	13	16	10000	2	1	4087291	0	INTEL	4893216.55835124	1.0
STMVE	14	16	10000	2	1	3920827	0	INTEL	5100964.6689333655	1.0
STMVE	15	16	10000	2	1	3956450	0	INTEL	5055036.712204122	1.0
STMVE	16	16	10000	2	1	3830839	0	INTEL	5220788.44869231	1.0
STMVE	17	16	10000	2	1	3814855	0	INTEL	5242663.220489376	1.0
STMVE	18	16	10000	2	1	3761080	0	INTEL	5317621.534240165	1.0
STMVE	19	16	10000	2	1	95243	1	INTEL	209989185.5569438	1.0
SEGME	1	16	10000	3	1	17006546	0	INTEL	1764026.62833476	1.0
SEGME	2	16	10000	3	1	13063184	0	INTEL	2296530.463017286	1.0
SEGME	3	16	10000	3	1	17712858	0	INTEL	1693684.892635621	1.0
SEGME	4	16	10000	3	1	34835662	0	INTEL	861186.4473825702	1.0
SEGME	5	16	10000	3	1	33340471	0	INTEL	899807.3242576567	1.0
SEGME	6	16	10000	3	1	34830014	0	INTEL	861326.0965097516	1.0
SEGME	7	16	10000	3	1	35210108	0	INTEL	852028.0596696835	1.0
SEGME	8	16	10000	3	1	35307047	0	INTEL	849688.732110618	1.0
SEGME	9	16	10000	3	1	35052614	0	INTEL	855856.2850690678	1.0
SEGME	10	16	10000	3	1	32956257	0	INTEL	910297.5498704237	1.0
SEGME	11	16	10000	3	1	27771095	0	INTEL	1080259.8889240774	1.0
SEGME	12	16	10000	3	1	24519859	0	INTEL	1223498.0633453073	1.0
SEGME	13	16	10000	3	1	21686801	0	INTEL	1383329.8880733955	1.0
SEGME	14	16	10000	3	1	31888368	0	INTEL	940781.9177199661	1.0
SEGME	15	16	10000	3	1	30710279	0	INTEL	976871.620085249	1.0
SEGME	16	16	10000	3	1	17219830	0	INTEL	1742177.4779425813	1.0
SEGME	17	16	10000	3	1	14632316	0	INTEL	2050256.4324061892	1.0
SEGME	18	16	10000	3	1	13520367	2526	INTEL	2218874.6799550634	1.0
SEGME	19	16	10000	3	1	62296	0	INTEL	481571850.5200976	1.0
COMPA	1	16	10000	3	1	65987037	0	INTEL	454634.74894319015	1.0
COMPA	2	16	10000	3	1	81343819	0	INTEL	368804.9119011735	1.0
COMPA	3	16	10000	3	1	46307850	0	INTEL	647838.3254674963	1.0
COMPA	4	16	10000	3	1	87531523	0	INTEL	342733.66864643723	1.0
COMPA	5	16	10000	3	1	67206326	0	INTEL	446386.54998042894	1.0
COMPA	6	16	10000	3	1	87761439	0	INTEL	341835.78051859426	1.0
COMPA	7	16	10000	3	1	70467243	0	INTEL	425729.72522850084	1.0
COMPA	8	16	10000	3	1	85409826	0	INTEL	351247.64216239005	1.0
COMPA	9	16	10000	3	1	88656876	0	INTEL	338383.22929402563	1.0
COMPA	10	16	10000	3	1	84794515	0	INTEL	353796.4690286866	1.0
COMPA	11	16	10000	3	1	56891383	0	INTEL	527320.6313159938	1.0
COMPA	12	16	10000	3	1	50703537	0	INTEL	591674.6991437698	1.0
COMPA	13	16	10000	3	1	64207338	0	INTEL	467236.31495203864	1.0
COMPA	14	16	10000	3	1	82013845	0	INTEL	365791.89769727294	1.0
COMPA	15	16	10000	3	1	77333498	0	INTEL	387930.20845895266	1.0
COMPA	16	16	10000	3	1	45703497	0	INTEL	656404.9136108775	1.0
COMPA	17	16	10000	3	1	68932108	0	INTEL	435210.8309236677	1.0
COMPA	18	16	10000	3	1	40641873	2425	INTEL	738154.9565887379	1.0
COMPA	19	16	10000	3	1	140985	0	INTEL	212788594.53133312	1.0
BOOST	1	16	10000	3	1	83595498	0	INTEL	358871.00044550246	1.0
BOOST	2	16	10000	3	1	84448870	0	INTEL	355244.5402762642	1.0
BOOST	3	16	10000	3	1	48705510	0	INTEL	615946.7378536843	1.0
BOOST	4	16	10000	3	1	85143345	0	INTEL	352346.97438772226	1.0
BOOST	5	16	10000	3	1	84239744	0	INTEL	356126.43837094284	1.0
BOOST	6	16	10000	3	1	83368782	0	INTEL	359846.92687485827	1.0
BOOST	7	16	10000	3	1	84897349	0	INTEL	353367.92436239676	1.0
BOOST	8	16	10000	3	1	82891375	0	INTEL	361919.4397487073	1.0
BOOST	9	16	10000	3	1	66337691	0	INTEL	452231.59787095996	1.0
BOOST	10	16	10000	3	1	66061138	0	INTEL	454124.7836208937	1.0
BOOST	11	16	10000	3	1	70053332	0	INTEL	428245.1547058461	1.0
BOOST	12	16	10000	3	1	48275128	0	INTEL	621438.0208375625	1.0
BOOST	13	16	10000	3	1	44438575	0	INTEL	675089.153961395	1.0
BOOST	14	16	10000	3	1	77378212	0	INTEL	387706.03797358356	1.0
BOOST	15	16	10000	3	1	58424087	0	INTEL	513486.84319191845	1.0
BOOST	16	16	10000	3	1	62969956	0	INTEL	476417.6744859088	1.0
BOOST	17	16	10000	3	1	68287539	0	INTEL	439318.8045625718	1.0
BOOST	18	16	10000	3	1	58940381	0	INTEL	508988.9052464727	1.0
BOOST	19	16	10000	3	1	90620	0	INTEL	331052747.7378062	1.0
STMVE	1	16	10000	3	1	3555044	0	INTEL	8438714.119994015	1.0
STMVE	2	16	10000	3	1	3507369	0	INTEL	8553419.956668375	1.0
STMVE	3	16	10000	3	1	4088078	2985	INTEL	7338411.840478582	1.0
STMVE	4	16	10000	3	1	3597101	0	INTEL	8340049.389772486	1.0
STMVE	5	16	10000	3	1	3634098	0	INTEL	8255143.367074856	1.0
STMVE	6	16	10000	3	1	4075549	0	INTEL	7360971.49120278	1.0
STMVE	7	16	10000	3	1	3950138	0	INTEL	7594671.376038002	1.0
STMVE	8	16	10000	3	1	3970966	0	INTEL	7554836.782787866	1.0
